Timestamp,Cpacidad disponible, Capacidad utilizada,% Memoria utilizada 
18:42:03,2651028,1387148,34.350853
18:42:08,2651028,1387148,34.350853
18:42:13,2651028,1387148,34.350853
18:42:18,2651028,1387148,34.350853
18:42:23,2651028,1387148,34.350853
18:42:28,2651028,1387148,34.350853
18:42:33,2651028,1387148,34.350853
18:42:38,2651028,1387148,34.350853
18:42:43,2651028,1387148,34.350853
18:42:48,2651028,1387148,34.350853
18:42:53,2651028,1387148,34.350853
18:42:58,2651028,1387148,34.350853
18:43:03,2651152,1387024,34.347786
18:43:08,2651152,1387024,34.347786
18:43:13,2651152,1387024,34.347786
18:43:18,2651152,1387024,34.347786
18:43:23,2651152,1387024,34.347786
18:43:28,2651152,1387024,34.347786
18:43:33,2651152,1387024,34.347786
18:43:38,2651152,1387024,34.347786
18:43:43,2651152,1387024,34.347786
18:43:48,2651152,1387024,34.347786
18:43:53,2651152,1387024,34.347786
18:43:58,2651152,1387024,34.347786
18:44:03,2651152,1387024,34.347786
18:44:08,2651152,1387024,34.347786
18:44:13,2651152,1387024,34.347786
18:44:18,2651152,1387024,34.347786
18:44:23,2651152,1387024,34.347786
18:44:28,2651152,1387024,34.347786
18:44:33,2651028,1387148,34.350853
18:44:38,2651028,1387148,34.350853
18:44:43,2651028,1387148,34.350853
18:44:48,2651028,1387148,34.350853
18:44:53,2651028,1387148,34.350853
18:44:58,2651028,1387148,34.350853
18:45:03,2651028,1387148,34.350853
18:45:08,2651028,1387148,34.350853
18:45:13,2651028,1387148,34.350853
18:45:18,2651028,1387148,34.350853
18:45:23,2651028,1387148,34.350853
18:45:28,2651028,1387148,34.350853
18:45:33,2651152,1387024,34.347786
18:45:38,2651152,1387024,34.347786
18:45:43,2651152,1387024,34.347786
18:45:48,2651152,1387024,34.347786
18:45:53,2651152,1387024,34.347786
18:45:58,2651152,1387024,34.347786
18:46:03,2651276,1386900,34.344715
18:46:08,2651276,1386900,34.344715
18:46:13,2651276,1386900,34.344715
18:46:18,2651276,1386900,34.344715
18:46:23,2651276,1386900,34.344715
18:46:28,2651276,1386900,34.344715
18:46:33,2651276,1386900,34.344715
18:46:38,2651276,1386900,34.344715
18:46:43,2651276,1386900,34.344715
18:46:48,2651276,1386900,34.344715
18:46:53,2651276,1386900,34.344715
18:46:58,2651276,1386900,34.344715
18:47:03,2651276,1386900,34.344715
18:47:08,2651276,1386900,34.344715
18:47:13,2651276,1386900,34.344715
18:47:18,2651276,1386900,34.344715
18:47:23,2651276,1386900,34.344715
18:47:28,2651276,1386900,34.344715
18:47:33,2651276,1386900,34.344715
18:47:38,2651276,1386900,34.344715
18:47:43,2651276,1386900,34.344715
18:47:48,2651276,1386900,34.344715
18:47:53,2651152,1387024,34.347786
18:47:58,2651152,1387024,34.347786
18:48:03,2650780,1387396,34.356995
18:48:08,2650780,1387396,34.356995
18:48:13,2650780,1387396,34.356995
18:48:18,2650780,1387396,34.356995
18:48:23,2650780,1387396,34.356995
18:48:28,2650780,1387396,34.356995
18:48:33,2650780,1387396,34.356995
18:48:38,2650780,1387396,34.356995
18:48:43,2650780,1387396,34.356995
18:48:48,2650780,1387396,34.356995
18:48:53,2650780,1387396,34.356995
18:48:58,2650780,1387396,34.356995
18:49:03,2650532,1387644,34.36314
18:49:08,2650532,1387644,34.36314
18:49:13,2650532,1387644,34.36314
18:49:18,2650532,1387644,34.36314
18:49:23,2650532,1387644,34.36314
18:49:28,2650532,1387644,34.36314
18:49:33,2650532,1387644,34.36314
18:49:38,2650532,1387644,34.36314
18:49:43,2650532,1387644,34.36314
18:49:48,2650532,1387644,34.36314
18:49:53,2650532,1387644,34.36314
18:49:58,2650532,1387644,34.36314
18:50:03,2650656,1387520,34.360065
18:50:08,2650656,1387520,34.360065
18:50:13,2650656,1387520,34.360065
18:50:18,2650656,1387520,34.360065
18:50:23,2650656,1387520,34.360065
18:50:28,2650656,1387520,34.360065
18:50:33,2650656,1387520,34.360065
18:50:38,2650656,1387520,34.360065
18:50:43,2650656,1387520,34.360065
18:50:48,2650656,1387520,34.360065
18:50:53,2650656,1387520,34.360065
18:50:58,2650656,1387520,34.360065
18:51:03,2650656,1387520,34.360065
18:51:08,2650656,1387520,34.360065
18:51:13,2650656,1387520,34.360065
18:51:18,2650656,1387520,34.360065
18:51:23,2650656,1387520,34.360065
18:51:28,2650656,1387520,34.360065
18:51:33,2650656,1387520,34.360065
18:51:38,2650656,1387520,34.360065
18:51:43,2650656,1387520,34.360065
18:51:48,2650656,1387520,34.360065
18:51:53,2650656,1387520,34.360065
18:51:58,2650656,1387520,34.360065
18:52:03,2650656,1387520,34.360065
18:52:08,2650656,1387520,34.360065
18:52:13,2650656,1387520,34.360065
18:52:18,2650656,1387520,34.360065
18:52:23,2650656,1387520,34.360065
18:52:28,2650656,1387520,34.360065
18:52:33,2650656,1387520,34.360065
18:52:38,2650656,1387520,34.360065
18:52:43,2650656,1387520,34.360065
18:52:48,2650656,1387520,34.360065
18:52:53,2650656,1387520,34.360065
18:52:58,2650656,1387520,34.360065
18:53:03,2650532,1387644,34.36314
18:53:08,2650532,1387644,34.36314
18:53:13,2650532,1387644,34.36314
18:53:18,2650532,1387644,34.36314
18:53:23,2650532,1387644,34.36314
18:53:28,2650532,1387644,34.36314
18:53:33,2650656,1387520,34.360065
18:53:38,2650656,1387520,34.360065
18:53:43,2650656,1387520,34.360065
18:53:48,2650656,1387520,34.360065
18:53:53,2650656,1387520,34.360065
18:53:58,2650656,1387520,34.360065
18:54:03,2650656,1387520,34.360065
18:54:08,2650656,1387520,34.360065
18:54:13,2650656,1387520,34.360065
18:54:18,2650656,1387520,34.360065
18:54:23,2650656,1387520,34.360065
18:54:28,2650532,1387644,34.36314
18:54:33,2650656,1387520,34.360065
18:54:38,2650656,1387520,34.360065
