Timestamp,% global CPU,Cpacidad de memoria utilizada,% Memoria utilizada 
18:25:42,2.0,1505548,37.2829
18:25:44,2.0,1505564,37.2833
18:25:46,2.0,1505508,37.2819
18:25:48,2.0,1505672,37.2859
18:25:50,2.0,1505780,37.2886
18:25:53,2.0,1505696,37.2865
18:25:55,2.0,1505804,37.2892
18:25:57,2.0,1505944,37.2927
18:25:59,2.0,1505780,37.2886
18:26:01,2.0,1505988,37.2938
18:26:03,2.0,1505616,37.2846
18:26:05,2.0,1505600,37.2842
18:26:07,2.0,1505376,37.2786
18:26:09,2.0,1505484,37.2813
18:26:11,2.0,1505500,37.2817
18:26:13,2.0,1505640,37.2851
18:26:15,2.0,1505912,37.2919
18:26:18,2.0,1505796,37.2890
18:26:20,2.0,1505796,37.2890
18:26:22,1.9,1506192,37.2988
18:26:24,1.9,1505952,37.2929
18:26:26,1.9,1506092,37.2963
18:26:28,1.9,1506108,37.2967
18:26:30,1.9,1506024,37.2947
18:26:32,1.9,1505836,37.2900
18:26:34,1.9,1506296,37.3014
18:26:36,1.9,1506344,37.3026
18:26:38,1.9,1506088,37.2962
18:26:40,1.9,1506524,37.3070
18:26:42,1.9,1506144,37.2976
18:26:45,1.9,1506144,37.2976
18:26:47,1.9,1505796,37.2890
18:26:49,1.9,1506044,37.2952
18:26:51,1.9,1506184,37.2986
18:26:53,1.9,1506332,37.3023
18:26:55,1.9,1505968,37.2933
18:26:57,1.9,1506092,37.2963
18:26:59,1.9,1505868,37.2908
18:27:01,1.9,1506236,37.2999
18:27:03,1.9,1506136,37.2974
18:27:05,1.9,1505892,37.2914
18:27:08,1.9,1506032,37.2949
18:27:10,1.9,1505768,37.2883
18:27:12,1.9,1506148,37.2977
18:27:14,1.9,1506424,37.3046
18:27:16,1.8,1506044,37.2952
18:27:18,1.8,1506160,37.2980
18:27:20,1.8,1506044,37.2952
18:27:22,1.8,1505904,37.2917
18:27:24,1.8,1505796,37.2890
18:27:26,1.8,1505924,37.2922
18:27:29,1.8,1505808,37.2893
18:27:31,1.8,1505528,37.2824
18:27:33,1.8,1506064,37.2957
18:27:35,1.8,1505808,37.2893
18:27:37,1.8,1505908,37.2918
18:27:39,1.8,1505520,37.2822
18:27:41,1.8,1505932,37.2924
18:27:43,1.8,1505684,37.2862
18:27:45,1.8,1505956,37.2930
18:27:47,1.8,1505584,37.2838
18:27:49,1.8,1505436,37.2801
18:27:51,1.8,1505816,37.2895
18:27:53,1.8,1505700,37.2866
18:27:56,1.8,1505784,37.2887
18:27:58,1.8,1505992,37.2939
18:28:00,1.8,1505636,37.2850
18:28:02,1.8,1505760,37.2881
18:28:04,1.8,1505768,37.2883
18:28:06,1.8,1506016,37.2945
18:28:08,1.8,1505892,37.2914
18:28:10,1.8,1505904,37.2917
18:28:12,1.8,1506008,37.2943
18:28:14,1.8,1505760,37.2881
18:28:16,1.8,1506016,37.2945
18:28:18,1.7,1505488,37.2814
18:28:20,1.7,1505192,37.2741
18:28:22,1.7,1505344,37.2778
18:28:25,1.7,1505376,37.2786
18:28:27,1.7,1505244,37.2753
18:28:29,1.7,1505460,37.2807
18:28:31,1.7,1505360,37.2782
18:28:33,1.7,1505624,37.2848
18:28:35,1.7,1505400,37.2792
18:28:37,1.7,1505424,37.2798
18:28:39,1.7,1505540,37.2827
18:28:41,1.7,1505672,37.2859
18:28:43,1.7,1505812,37.2894
18:28:45,1.7,1505704,37.2867
18:28:47,1.7,1505704,37.2867
18:28:50,1.7,1506100,37.2965
18:28:52,1.7,1506288,37.3012
18:28:54,1.7,1506124,37.2971
18:28:56,1.7,1506148,37.2977
18:28:58,1.7,1505768,37.2883
18:29:00,1.7,1505652,37.2854
18:29:02,1.7,1505372,37.2785
18:29:04,1.7,1506032,37.2949
18:29:06,1.7,1505900,37.2916
18:29:08,1.7,1505784,37.2887
18:29:10,1.7,1505776,37.2885
18:29:12,1.7,1505940,37.2926
18:29:15,1.7,1505956,37.2930
18:29:17,1.7,1506064,37.2957
18:29:19,1.7,1505868,37.2908
18:29:21,1.7,1505760,37.2881
18:29:23,1.7,1505760,37.2881
18:29:25,1.7,1505892,37.2914
18:29:27,1.7,1505520,37.2822
18:29:29,1.6,1505480,37.2812
18:29:31,1.6,1505604,37.2843
18:29:33,1.6,1506060,37.2956
18:29:35,1.6,1506432,37.3048
18:29:37,1.6,1506316,37.3019
18:29:40,1.6,1506028,37.2948
18:29:42,1.6,1506176,37.2984
18:29:44,1.6,1506316,37.3019
18:29:46,1.6,1506440,37.3050
18:29:48,1.6,1506324,37.3021
18:29:50,1.6,1505952,37.2929
18:29:52,1.6,1505820,37.2896
18:29:54,1.6,1506076,37.2959
18:29:56,1.6,1505928,37.2923
18:29:58,1.6,1506108,37.2967
18:30:00,1.6,1505704,37.2867
18:30:03,1.6,1505704,37.2867
18:30:05,1.6,1505968,37.2933
18:30:07,1.6,1505736,37.2875
18:30:09,1.6,1505960,37.2931
18:30:11,1.6,1505780,37.2886
18:30:13,1.6,1505996,37.2940
18:30:15,1.6,1506012,37.2944
18:30:17,1.6,1505764,37.2882
18:30:19,1.6,1505880,37.2911
18:30:21,1.6,1505524,37.2823
18:30:23,1.6,1505632,37.2850
18:30:25,1.6,1505508,37.2819
18:30:27,1.6,1505772,37.2884
18:30:30,1.6,1505492,37.2815
18:30:32,1.6,1505680,37.2861
18:30:34,1.6,1505812,37.2894
18:30:36,1.6,1505812,37.2894
18:30:38,1.6,1505896,37.2915
18:30:40,1.6,1505928,37.2923
18:30:42,1.6,1505904,37.2917
18:30:44,1.6,1505556,37.2831
18:30:46,1.6,1505704,37.2867
18:30:48,1.6,1505820,37.2896
18:30:50,1.5,1505828,37.2898
18:30:52,1.5,1506044,37.2952
18:30:55,1.5,1506052,37.2954
18:30:57,1.5,1505944,37.2927
18:30:59,1.5,1506092,37.2963
18:31:01,1.5,1506068,37.2957
18:31:03,1.5,1505836,37.2900
18:31:05,1.5,1505936,37.2925
18:31:07,1.5,1506100,37.2965
18:31:09,1.5,1506136,37.2974
18:31:11,1.5,1506092,37.2963
18:31:13,1.5,1506308,37.3017
18:31:15,1.5,1505928,37.2923
18:31:17,1.5,1506108,37.2967
18:31:19,1.5,1505572,37.2835
18:31:22,1.5,1505596,37.2841
18:31:24,1.5,1505696,37.2865
18:31:26,1.5,1505640,37.2851
18:31:28,1.5,1505760,37.2881
18:31:30,1.5,1505628,37.2849
18:31:32,1.5,1505312,37.2770
18:31:34,1.5,1505728,37.2873
18:31:36,1.5,1505876,37.2910
18:31:38,1.5,1506108,37.2967
18:31:40,1.5,1506776,37.3133
18:31:42,1.5,1506652,37.3102
18:31:44,1.5,1506412,37.3043
18:31:47,1.5,1506436,37.3049
18:31:49,1.5,1506048,37.2953
18:31:51,1.5,1505956,37.2930
18:31:53,1.5,1505744,37.2877
18:31:55,1.5,1506064,37.2957
18:31:57,1.5,1506212,37.2993
18:31:59,1.5,1506088,37.2962
18:32:01,1.5,1506220,37.2995
18:32:03,1.5,1506136,37.2974
18:32:05,1.5,1505964,37.2932
18:32:07,1.5,1506104,37.2966
18:32:09,1.5,1505864,37.2907
18:32:12,1.5,1505824,37.2897
18:32:14,1.5,1506428,37.3047
18:32:16,1.5,1506296,37.3014
18:32:18,1.5,1506332,37.3023
18:32:20,1.5,1506056,37.2955
18:32:22,1.5,1506304,37.3016
